subject,relationship_imp,relationship,emotion_type,action,emotion_intensity,mb_violation_us,mb_violation_cn,perspective,culture
17,100,parentchild,guilt,NoTimeCompany,0,18568.05463,18514.14294,patient,usa
17,100,parentchild,guilt,ExpressDisagree,0,15768.63941,17008.19792,patient,usa
17,100,parentchild,guilt,RefuseTaskInstruct,0,16114.48674,17732.94676,patient,usa
17,100,parentchild,guilt,PursueOwnAction,0,16318.73407,17846.136,patient,usa
17,100,parentchild,guilt,AvoidSex,0,15975.8681,15630.41377,patient,usa
17,100,parentchild,guilt,DateOthers,0,18925.98752,18981.54456,patient,usa
17,100,parentchild,guilt,InvestRelationship,11,18135.50369,18133.01968,patient,usa
17,100,parentchild,guilt,NoShareReward,0,17746.8323,18546.92593,patient,usa
17,100,parentchild,guilt,RefuseCompensation,32,9953.391473,10949.61458,patient,usa
17,100,parentchild,guilt,NoCompensate4Help,26.5,14408.81171,15084.20197,patient,usa
20,100,sib,guilt,ComplainTroubles,40.5,12027.54239,13357.72744,patient,usa
20,100,sib,guilt,NoInvest4Needs,8.5,14291.94792,15638.16784,patient,usa
20,100,sib,guilt,NoTimeCompany,7,13070.43526,14354.30192,patient,usa
20,100,sib,guilt,ExpressDisagree,31.5,11859.45234,13810.83239,patient,usa
20,100,sib,guilt,RefuseTaskInstruct,4,12811.27204,14935.94296,patient,usa
20,100,sib,guilt,PursueOwnAction,30.5,12660.60719,14789.9077,patient,usa
20,100,sib,guilt,AvoidSex,0,8260.954457,9464.750279,patient,usa
20,100,sib,guilt,DateOthers,0,11558.95827,13150.33645,patient,usa
20,100,sib,guilt,InvestRelationship,0,12983.2649,13810.17625,patient,usa
20,100,sib,guilt,NoShareReward,9.5,14051.7675,15413.02501,patient,usa
20,100,sib,guilt,RefuseCompensation,28.5,8217.268047,9132.722259,patient,usa
20,100,sib,guilt,NoCompensate4Help,14.5,11605.78828,12569.4565,patient,usa
21,95,parentchild,guilt,ComplainTroubles,0,17054.67091,17183.20313,patient,usa
21,95,parentchild,guilt,NoInvest4Needs,0,20254.76659,20103.02025,patient,usa
21,95,parentchild,guilt,NoTimeCompany,0,18568.05463,18514.14294,patient,usa
21,95,parentchild,guilt,ExpressDisagree,0,15768.63941,17008.19792,patient,usa
21,95,parentchild,guilt,RefuseTaskInstruct,0,16114.48674,17732.94676,patient,usa
21,95,parentchild,guilt,PursueOwnAction,2.5,16318.73407,17846.136,patient,usa
21,95,parentchild,guilt,AvoidSex,0,15975.8681,15630.41377,patient,usa
21,95,parentchild,guilt,DateOthers,0,18925.98752,18981.54456,patient,usa
21,95,parentchild,guilt,InvestRelationship,0,18135.50369,18133.01968,patient,usa
21,95,parentchild,guilt,NoShareReward,0,17746.8323,18546.92593,patient,usa
21,95,parentchild,guilt,RefuseCompensation,44,9953.391473,10949.61458,patient,usa
21,95,parentchild,guilt,NoCompensate4Help,0,14408.81171,15084.20197,patient,usa
23,100,dr,guilt,ComplainTroubles,20,11968.67442,12295.14163,patient,usa
23,100,dr,guilt,NoInvest4Needs,0,13838.48256,14401.63829,patient,usa
23,100,dr,guilt,NoTimeCompany,0,12817.10447,13231.86696,patient,usa
23,100,dr,guilt,ExpressDisagree,0,13065.0731,12525.66363,patient,usa
23,100,dr,guilt,RefuseTaskInstruct,0,14378.03731,13408.5829,patient,usa
23,100,dr,guilt,PursueOwnAction,0,14154.45143,13335.51902,patient,usa
23,100,dr,guilt,AvoidSex,0,8757.862645,9443.766579,patient,usa
